"1346 LA, LLC"
2020 LONG BEACH LLC
"2JC, LLC"
"300, LLC"
410 EXTRACTS
"420-3, LLC"
"66 MAIN GROUP, LLC"
"888 LAY, LLC"
9701 ENTERPRISES
ABC COMMERCE LLC
ALKHEMIST DM LLC.
"ALL DONE MANAGEMENT GROUP, INC."
APEX SOLUTIONS
APHRODITE CONSULTING
"APOLLO CULTIVATION MANAGEMENT, LLC."
"ARTISAN CANNA CIGARS, LLC"
"ASV EQ 3, LLC"
"AUREUS, LLC"
BACKBONE DISTRIBUTION
BALL FAMILY FARMS
BEACH ENLIGHTENMENT AND COMPASSIONATE HEALING CORP
"BEAVER FREIGHT, INC."
"BELO, INC"
BEYOND LEGENDS DISTRIBUTION
BIRD VALLEY ORGANICS
BREEZ CA LLC
"BROADWAY ALLIANCE, LLC"
"BTC VENTURES, LLC"
BTW INDUSTRIES
BUD TECHNOLOGY
CABO CONNECTION
"CALDISTRO, INC."
CALIFORNIA ARTISANAL MEDICINE
"CALIFORNIA CHROMATOGRAPHY, LLC"
"CALIFORNIA ORGANIC TREATMENT CENTER, INC"
CALIFORNIA STATE DISTRIBUTION
CALMEDS FARMERS UNION
CALYX BRANDS INC.
"CANA ROSE REALTY HOLDINGS, LLC"
CANN DISTRIBUTORS INC.
"CANNABLE ORGANICS, INC"
CANNACO RESEARCH CORP.
CANNEX HOLDINGS (CALIFORNIA) INC.
CASE FARMS COLLECTIVE
CI DISTRIBUTION LLC
"CITY COMPASSIONATE CARGIVERS, INC"
CK DISTRIBUTION
"CLAREMONT CAPITAL PARTNERS, LLC"
CLEANLINE MANAGEMENT LLC
"CLEARLAKE GROWTH FUND III, INC"
"CLEARVIEW MANAGEMENT SOLUTIONS, LLC"
"CMX DISTRIBUTION, INC"
"CMX DISTRIBUTION, INC - OR - HERBL, INC"
"COASTAL BUSINESS DISTRIBUTION, LLC"
COLLECTIVE EFFORT INC
CONNECTED MANAGEMENT LLC
"CRAFTED CANOPY, CO. LLC"
CREME DE CANNA COLLECTIVE
CROWN GENETICS LLC
CURE PRODUCTIONS SATICOY
CYPRESS MANUFACTURING CO.
DASH DISTRO
DECIBEL ENTERPRISE INC.
DESERT HOT SPRINGS WELLNESS SERVICES
"DHS DEVELOPEMENT, INC."
DLVRD
"DOING IT OUR SELVES, LLC"
DOWNWIND 27 INC.
"DROPS CALI, LLC"
"ECHSEN INDUSTRIES, LLC"
"EDIBLES LIST, LLC"
"EH TECH, INC"
"EJF, INC."
ELEVATION WELLNESS CENTER INC.
"EMERALD SUN MANUFACTURING, LLC"
EVENT HORIZON TECHNOLOGIES
FIELDS PERFORMANCE INC
"FIRE CUT, LLC"
"FLORA & FLAME, LLC"
"FLUID SOUTH, INC"
"FLUIDS MANUFACTURING, INC"
FLVRHOUSE
FOUR STAR DISTRIBUTION & DELIVERY LLC
FUTURE2 LABS HEALTH SERVICES
"GARDEN OF WEEDEN, INC"
GB2 LLC
GC GLOBAL DISTRIBUTION
"GCM MANAGEMENT SERVICES, INC."
GF DISTRIBUTION LLC
GK MANAGEMENT SERVICES LLC
GOLD COAST ENTERPRISES
GOLDEN GATE GEN INC.
GOLDEN STATE RECYCLING COLLECTIVE
"GOURMET GREEN ROOM, INC"
"GP OPERATIONS, INC."
GRANDIFLORA GENETICS LLC
GREEN DRAGON CAREGIVERS INC
GREEN GARDEN CULTIVATION
GREEN ROCKET DESIGN AND TECHNOLOGY CORP
GREENFIELD ORGANIX
GREENLINE DELIVERY LLC
GREENLINE ORGANIC NURSERY
"GREENSTONE, INC"
"GREENWOOD & COMPANY, LLC"
"GRIZZLY PEAK FARMS, LLC"
HANNAH ASHBY
HAPPY TRAVELS
HARD CAR SECURITY LLC
"HASH TAG DISTRIBUTION, INC"
HD013 HOLDNGS LLC
"HERBAL REMEDIES CAREGIVERS, INC"
"HERBL, INC"
HERITAGE MENDOCINO
"HESHIES, LLC"
HGDCO INC
HIGH CALIBER ORGANICS INC.
HIGH GRADE VENTURES
"HIGHER GROUND HOLDINGS, LLC"
HIGHER LOGIC LLC
"HIGHLAND PARK PATIENT COLLECTIVE, INC."
HIGHWAY 1 DISTRIBUTION
"HUMBOLDT PARTNER GROUP, INC."
"HUMBOLDT SUN GROWERS GUILD, LLC"
HYPEEREON CORPORATION
IE LICENSING
ILLA CANNA LLC
INDUS HOLDING COMPANY
"INDUSTRIAL COURT L11, LLC"
INDUSTRY STANDARD GROUP
"INFLOR, LLC"
"IRON SUMMIT DISTRIBUTION, INC."
IRONWORKS COLLECTIVE INC.
JDF CM1 LLC
"JDI FARMS, INC"
"JOINT FORCES, LLC"
JOSH ROISTACHER
"KAIZEN MANAGEMENT GROUP, LLC"
KALI BOTANICALS
KANAPLYA LLC
KANEP GROUP LLC
KASE MANUFACTURING
"KAVRY MANAGEMENT, LLC"
"KDM HOLDINGS, LLC"
KEVIN  DOUD
"KEYSTONE INDUSTRIES LBC, LLC"
"KIND HOUSE, INC"
"KIVA SALES AND SERVICE, INC - OR - LCISM CORP"
"KORBEN LABS, LLC"
KUDA BROS
KURATED LLC
"L.B. JOINT VENTURES, INC"
"LANCASTER STORAGE PROPERTIES, LLC"
"LAST MINUTE VENTURES, LLC"
LB ATLANTIS
LCB DISTRIBUTION
LCISM CORP
LEFT COAST LLC
LIGHTNING BUG BRANDING
LIGHTWORK DISTRIBUTORS LLC
LMG LOGISTICS INC
"LONG BEACH DISTRIBUTION SOLUTIONS, LLC"
LOS ANGELES FAMILY FARMS
"LUCKY FAMILY BRANDS, INC."
LVLUP DISTRIBUTION LLC
MALIBU GOLD LLC
MAR SR LLC
"MARLEY MANAGEMENT, LLC"
"MARY J'S KITCHEN, INC"
MARY JANE'S COLLECTIVE CAREGIVERS
"MARY'S TECH CA, INC"
MASTER BANGO
MASTER BANJO
MASTERMIND DISTRIBUTION
MAYWOOD L'CHAIM
MED FOR AMERICA INC
"MEDCARE FARMS 2.0, LLC"
"MEDCARE FARMS 2.0, LLC - OR - NGU DISTRIBUTION LLC - OR - NGU DISTRIBUTION LLC"
MELI LBC
"MELROSE FACILITY MANAGEMENT, LLC"
MER FUMEE
MINDSET ORGANICS INC
"MODERN DETERMINISM, LLC"
MONTEREY TILTH LLC
"MOTA, CA"
"MVN PRODUCTIONS, LLC"
NATURE & LIFE FARMS LLC
NCM CORP
"NEW AGE COMPASSION CARE CENTER, INC."
"NEXT GREEN WAVE, LLC"
NGU DISTRIBUTION LLC
NIBBLE EASY LLC
NMC ORGANIZATION
NOBLE TREES LLC
"NORTHRIDGE CAREGIVERS CO-OP, INC."
ODYSSEY AGRICULTURAL HOLDINGS
ONE UP MONTEBELLO LLC
ORGANITIPS
ORIGINAL BALBOA CAREGIVERS
"P&B LABS HUMBOLDT, LLC"
P&S VENTURES
"PACIFIC RESERVE NURSERY, LLC"
PACIFIC WEST DISTRIBUTORS
"PAYNES DISTRIBUTION, LLC"
"PHC FACILITIES, INC"
PHINEST DISTRIBUTION COMPANY
PIVOT NATURALS LLC
PLATINUM DISTRIBUTION INC.
"POSITIVE BEGINNINGS DISTRIBUTION, LLC"
PRFCT LABS
"PRIVATE LINE SERVICE, LLC"
"PUBLIC ONLY SERVICES, INC"
PUFFCO
"PUNCH MEDIA, LLC"
"PURE VAPE, INC"
"PURE, CA LLC"
PUSH 365
PWN MANAGEMENT
RADIANT FARM INC.
"RC GLOBAL, INC"
RD LYNWOOD SOUTH
RDC COLLECTIVE CORP.
"REDWOOD ROOTS DISTRIBUTION, LLC"
RELIEF CCR
"RIVER DISTRIBUTING CO., LLC"
ROYAL M&D LLC
"RP2 HOLDINGS, LLC."
"RUKLI, INC"
SAINTS PLACE LLC
"SAN DIEGO ALTERNATIVE CARE COOPERATIVE, INC"
"SATELLITES DIP, LLC"
"SC BLOOM NETWORK, INC."
"SCCC GROUP SERVICES, INC"
"SCISLC, LLC"
SD PANTRY INC
SD REALTY VENTURES II LLC
SECURE HAULING LLC
SENSATIONAL HEALING CORP
NATURAL PLANT EXTRACTS OF CALIFORNIA
"SHIELD MANAGEMENT GROUP, LLC"
"SILO, INC"
"SOLISTER,INC"
SONOMA PACIFIC DISTRIBUTION INC
SOUTHERN CALIFORNIA ORGANIC TREATMENT
SOUTHWEST CAREGIVERS INC.
SSAL HORTICULTURE LLC.
STARE EXTRACTS
SUBLIME MACHINING INC.
"SUMMIT MANUFACTURING, LLC"
"SUNDERSTORM BAY, LLC"
FOUNTAIN OF WELLBEING INC.
SW VENTURES LLC.
SWEETWATER CANYON DEVELOPMENT
T-REX DISTRIBUTION LLC
"TAMARACK VALLEY PARTNERS, LLC"
TED'S BUDZ LLC
TELOS CG DISTRIBUTION LLC
"TERP WHOLESALE, LLC"
TERPX INC.
"TERRAFORM FARMS, INC"
THE BAKE SHOP LA
THE BURKE GROUP
THE CLEAR GROUP INC
THE DISTILLATE COMPANY LLC
"THE LEVEL COLLECTION, LLC"
THE LITTLE COTTAGE CAREGIVERS LLC
"THE MEDICINE WOMAN GROUP, LLC"
THE MICRO BUDDERY INC
THE SYNDICATE LANCASTER
"THERAPEUTIC HEALTH COLLECTIVE, INC"
"THINC CUBED, LLC"
"THIRTYONE LABS, LLC."
"TIKUN OLAM ADELANTO, LLC."
"TKC GROUP, INC."
TLG SOLUTIONS
"TOP HAT DERBY, INC"
TOPANGA BUSINESS SOLUTIONS
TRUE CLASSIC PRODUCTION
TRUSTY TRANSPORTATION AND DISTRIBUTION
TYRONE GOMES
UPNORTH DISTRIBUTION
"URBAN THERAPIES DISTRIBUTION, LLC"
VALLEY HEALTH CENTER COLLECTIVE
VARAVO
"VBR DHS MANAGEMENT, LLC"
VBX LABS LLC
VERT LAKE ELSINORE LLC
"VINO & CIGARRO, LLC"
VISTA PRIME MANAGEMENT
VITAL BLOOM LLC
VITAL DISTRIBUTION & LOGISTICS
"VOYAGE DISTRIBUTION, INC"
WALNUT LLC
"WCC MGMT, LLC"
"WE CARE CAT CITY, INC."
"WEST CLIFF PROVISIONS, INC"
WEST COAST HOOKAH
WESTERN EXOTICS LLC
"WESTSIDE CAREGIVERS CLUB, INC."
WILD FIRE DISTRIBUTION INC.
"WILD WEST INDUSTRIES, INC"
"XTRACTA DISTRIBUTION, LLC"
"YERBA BUENA LOGISTICS SERVICES, LLC"
ZASP
"ZENGANIC, INC."
ZENLEAF
"ZRP GROUP, LLC"
