Brand,Category,Weight,Special Terms,Price,Original Price,Debug Name
Cannabiotix (CBX),Cartridge,0.5g,,$24.50,$35.00,
Cannabiotix (CBX),Flower,3.5g,,$45.50,$65.00,
Cannabiotix (CBX),Extract,1g,T2,$35.00,$50.00,
Cannabiotix (CBX),Extract,1g,,$24.50,$35.00,
PAX,Unknown,1g,,$28.00,$40.00,1:1 (CBD/THC) | Sleep 1g
21st Amendment,Beverage,100mg,,$7.00,$10.00,
21st Amendment,Beverage,10mg,,$4.90,$7.00,
710 Labs,Edible,100mg,,$21.00,$30.00,
710 Labs,All-in-one,1g,Lro,$63.00,$90.00,
710 Labs,Extract,1g,"Badder, Lro, T2",$44.10,$63.00,
710 Labs,Cartridge,,"Battery, Pod",$14.00,$20.00,
West Coat Hookah & Glass,Unknown,,,$4.90,$7.00,ADI | Glass Tray | Assorted
West Coat Hookah & Glass,Unknown,,,$9.10,$13.00,AJI | Rolling Tray w/ Lid | 11x7 | Mixed
Jeeter,Unknown,,,$6.30,$9.00,AJI | Rolling Tray w/ Lid | 7x5 | Mixed
Almora Farm,Cartridge,1g,Diamonds,$19.60,$28.00,
Almora Farm,All-in-one,1g,,$27.30,$39.00,
Almora Farm,All-in-one,1g,Fi,$22.40,$32.00,
Almora Farm,Preroll,7g,4Pk,$31.50,$45.00,
Almora Farm,Unknown,100mg,,$21.00,$30.00,Almora Farm | CT Kernels 100mg | Ranch
Almora Farm,Flower,3.5g,,$17.50,$25.00,
Almora Farm,Flower,14g,,$23.10,$33.00,
Almora Farm,Flower,28g,,$35.00,$50.00,
